State,Population(In millions),Income,Size(sq. miles),Temperature,TotalCapitalOutlays,PopualtionDensity,Politicalscore,Precipitation
Alabama,4.898333333,59122,665384,64.81666667,3259.5,7.37005198,0.278571429,59.98833333
Arizona,7.071666667,45203.5,113990,62,897.3333333,62.04233997,0.42962963,11.51
Arkansas,3.001666667,42932.16667,53179,61.66666667,932.6666667,56.47615287,0.279012346,60.3
California,39.28833333,61164,163695,60.06666667,1279.333333,240.0852836,0.6875,21.37
Colorado,5.638333333,57652.5,104094,47.03333333,1448.166667,54.18971955,0.546666667,17.30333333
Connecticut,3.58,72155.66667,5543,50.75,1159.5,646.1675988,0.567736185,46.225
Delaware,0.964258333,51712.66667,2489,57.21666667,1218.5,387.2771528,0.596774194,48.905
Florida,21.02333333,50756.66667,65758,72.73333333,995.8333333,319.6280453,0.357291667,55.91666667
Georgia,10.465,46315.33333,59425,65.55,924.3333333,176.0430318,0.359463277,52.59833333
Idaho,1.74,43262.16667,83569,44.66666667,851,20.81416953,0.187301587,23.95166667
Illinois,12.77333333,55700.5,57914,53.18333333,1162.833333,220.630006,0.616760829,43.99
Indiana,6.686666667,46540,36420,53,970,183.6281668,0.271111111,46.40833333
Iowa,3.148333333,48747.16667,56273,48.81666667,1540.666667,55.97518644,0.432222222,38.16333333
Kansas,2.915,50470.33333,82278,55.61666667,1253.833333,35.44456801,0.274747475,31.03666667
Kentucky,4.458333333,42184.5,40408,57.2,1044.333333,110.4050188,0.385265701,56.82166667
Louisiana,4.663333333,45738,52378,68.13333333,1061.333333,89.10391449,0.375,65.61166667
Maine,1.338333333,48095.16667,35380,42.08333333,721.5,37.90013661,0.528673835,44.485
Maryland,6.045,60197.83333,12406,56.28333333,1053.833333,487.6411817,0.667553192,48.315
Massachusetts,6.876666667,69107.33333,10554,49.48333333,1306.166667,652.1831217,0.7925,46.86833333
Michigan,9.983333333,47275.83333,96714,45.6,758.6666667,103.25076,0.413288288,36.69666667
Minnesota,5.588333333,56028.16667,86936,42.08333333,1458,64.28858394,0.493366501,30.24
Mississippi,2.981666667,38086.16667,48432,65.31666667,886.3333333,61.577349,0.391762452,62.72333333
Missouri,6.113333333,46860.83333,69707,55.95,806.1666667,87.74716791,0.280033841,46.595
Montana,1.056666667,47674.5,147040,42.81666667,1109.333333,7.190401705,0.406666667,18.96
Nebraska,1.923333333,52263.16667,77348,49.81666667,1786.666667,24.85547353,0.302720917,26.26
Nevada,2.998333333,49185.66667,110572,51.96666667,1193.666667,27.11098198,0.555555556,10.43333333
New Hampshire,1.353333333,60581.16667,9349,44.61666667,659.3333333,144.8451706,0.474056604,46.1
New Jersey,8.948333333,64505,8723,54.48333333,931.3333333,1026.100061,0.6375,49.08833333
New Mexico,2.096666667,41307.33333,121590,55.45,1095,17.25248787,0.577380952,13.58666667
New York,19.67,63911,54555,46.53333333,1822.5,360.7858705,0.653870287,43.71166667
North Carolina,10.305,46099.33333,53819,60.71666667,984.5,191.4036183,0.388235294,57.155
North Dakota,0.763333333,55314.5,70698,41.5,2866.833333,10.77655662,0.20212766,17.94
Ohio,11.68333333,48034.5,44826,52.55,1029.333333,260.6557504,0.335858586,44.33833333
Oklahoma,3.938333333,46236.16667,69899,60.91666667,1216.833333,56.35698174,0.232662192,41.45333333
Oregon,4.15,49826.16667,98379,48.63333333,1318,42.17705167,0.594444445,30.87833333
Pennsylvania,12.82333333,54366,46054,50.2,1165.166667,278.5993073,0.411725955,47.79833333
Rhode Island,1.066666667,52879.66667,1545,51.46666667,793,688.9030205,0.85840708,49.34333333
South Carolina,5.045,43988.33333,32020,64.58333333,1056.333333,157.4743285,0.369607843,52.78
South Dakota,0.873333333,52731.33333,77116,45.86666667,1432.5,11.33631585,0.165079365,21.985
Tennessee,6.745,46579.5,42144,59.46666667,864,160.0889174,0.232323232,60.36666667
Texas,28.58333333,50827.33333,268596,66.48333333,1431.833333,105.7539216,0.38305709,31.72666667
Utah,3.126666667,45320,84897,50.1,1468,36.83200231,0.182692308,13.00666667
Vermont,0.625,52735.83333,9217,43.48333333,958.6666667,68.12109869,0.605555556,44.34
Virginia,8.488333333,56377.66667,39490,56.95,1169.5,215.0541065,0.439285714,51.27666667
Washington,7.453333333,59671,66456,48.03333333,1743.833333,112.2078192,0.532879819,43.46
West Virginia,1.815,40576.33333,24038,53.68333333,870.6666667,75.50116482,0.385572139,51.35
Wisconsin,5.806666667,50375.5,54158,44.18333333,1111.5,107.275201,0.372474748,38.55333333
Wyoming,0.581666667,60038,97093,42.15,2513.333333,5.986780715,0.137037037,16.47166667
